brand,year,model,genes
AGM,2017,AGM A1Q,73|94|7360|42|4513|13758|7109|1624|13797|4932|9453|307|87|57|64|1617|5281|1585|968|9055|88|1967|1905|30|1342|8556|1544|9433|5283|67|1908|98|6067|2187|8402|1232|7116|194|13781|2376|33|14|7023|5282|1609|5382|10|7628|2375|4922|9270|10476|74|4547|1571|7029|6396|56|7963|1343|584|4530|5139|41|781|19|7518|8110|1349|13791|4965|2737
AGM,2017,AGM M2G,42|13758|6359|13797|1355|9249|4932|57|5281|1124|3049|1342|6004|1144|5719|2818|767|13807|5283|1297|2187|740|13781|5282|9709|6569|6531|6396|56|1088|1343|10542|19|2737
AGM,2017,AGM X2,2539|73|94|42|2132|4932|6797|87|57|64|1435|5281|1429|9055|88|1026|13811|4747|5514|30|656|8131|875|67|98|1419|8421|13781|33|7191|14|614|7023|5084|10|883|2065|74|7029|6396|56|584|41|8224|781|5011|19|1349|7213|4951
AGM,2017,AGM X2 CHINA RED EDITION,2539|73|8879|94|42|2132|1878|7880|1196|4932|6797|87|57|64|1630|1435|54|5281|1429|5249|9055|88|1252|1026|13811|4737|4747|5233|5514|30|13780|656|8131|10013|4037|5283|875|67|98|4686|2187|5226|8107|1419|8421|1232|2696|4173|13781|7028|38|2376|3558|5176|33|7191|14|614|7023|5084|2744|10|7835|883|2065|3550|7044|4704|74|13107|55|7029|9361|6396|56|5285|12925|584|1533|41|1589|8224|781|8000|5011|2295|19|1349|7213|4951
AGM,2017,AGM X2 ELITE EDITION,73|8879|94|42|2132|1878|7880|4932|87|57|64|1630|1435|54|5281|2740|1429|9055|88|13811|4737|4747|5514|30|13780|656|8131|10013|875|67|98|4686|2187|8107|1419|8421|5198|13781|38|33|7191|14|614|7023|5084|2744|10|7835|883|2065|4704|74|55|7029|9361|6396|56|5285|584|1533|41|1589|8224|781|8000|5011|19|1349|7213|4951|2737
AGM,2018,AGM H1,2539|73|2302|94|42|4513|13758|7109|9120|13291|4627|1624|4512|11476|1196|7015|13797|4932|13788|13358|1171|1226|6797|13288|87|57|13259|7064|64|1323|11132|1617|5281|1585|2740|968|4565|2233|1124|1347|11012|88|10432|1252|1967|9130|3146|5811|1905|4747|30|11927|1125|1342|1144|1270|1544|4570|13807|5182|9366|13398|67|11790|3433|1908|98|1297|1216|4686|2187|2970|1281|1232|7116|13781|2376|9688|33|13562|2347|14|614|10987|7023|5084|1609|10648|10|2375|4733|2254|4633|7090|4704|74|1225|11330|4547|1571|9149|7029|11777|1148|3263|11506|6396|56|1088|11756|5285|1343|584|4530|1193|13268|41|1589|781|13380|7094|5011|1219|19|11361|2582|3397|4951|11869|564|11103|2737
AGM,2018,AGM X3,2539|11271|73|2302|94|3045|7440|42|11188|4513|4989|13758|7109|9120|13291|4627|1624|4512|11476|1196|7015|13797|4932|2633|1171|1226|6797|87|57|3130|13259|7064|64|1323|2389|1617|5281|1585|968|2469|4565|2233|1124|1347|9055|11012|88|10432|1252|1967|9130|10985|2440|3146|4737|1905|4747|30|11927|1125|11547|1342|7781|11048|1144|8556|9171|1270|1544|330|4570|13807|5182|7914|67|11790|1908|98|1297|1216|4686|2187|7427|1281|9839|9385|1232|7116|13781|2376|33|13562|2347|14|614|10987|7023|5084|1609|795|10|8671|7628|2375|4733|2254|883|408|4633|7090|4704|74|1225|4547|11449|1571|9149|13304|7029|1148|3263|11506|6396|56|7963|1088|2399|5285|1343|584|4530|1193|13268|41|781|7094|5011|1219|19|11361|8110|2582|3397|4951|11869|5000
ALKAT,2009,ALCATEL OT 800,9774|4932|5281|1124|1967|6002|1357|6004|1144|1297|2187|1572|2928|6118|1579|5282|5535|5084|6205|8195|1571|56|1088|1589|1529|6503|1574|9348|4951|2737
ALKAT,2010,ALCATEL OT 800,4513|7496|9774|4932|5281|1124|5411|1967|1357|1144|1297|2187|1572|8402|2928|1579|5282|5084|8195|1571|9029|56|1088|1589|1529|1574|9348|4951|2737
ALKAT,2011,ALCATEL OT 908,7109|4932|1617|5281|7108|1124|1967|1737|5514|30|1544|7914|2187|1353|1572|1232|7116|265|14|1579|5282|5084|9319|1354|1571|2825|6396|56|7556|8944|1088|2146|9695|1589|1529|7727|1574|4951|2737
ALKAT,2011,ALCATEL OT 908M,5507|4513|6397|1624|4932|1630|1617|5281|1124|1560|1967|583|1737|5514|30|6002|6004|1144|5283|1297|2187|1058|1572|1554|265|1029|14|1579|5282|5084|1609|9319|745|1571|2825|6396|56|1088|584|4530|9695|1589|1529|781|4923|1574|4951|2737
